timestamp,srcip,user_id,,status,latency_ms
2025-11-11T09:01:00Z,10.57.218.231,u4879,,500,726,
2025-11-12T12:21:00Z,10.83.184.132,u6555,,404,847
2025-11-26T14:47:00Z,10.133.39.196,u2188,,500,717
2025-11-13T21:00:00Z,10.138.189.23,u6842,,500,580
2025-11-05T10:15:00Z,10.142.241.23,u9455,,200,174
2025-11-22T04:45:00Z,10.13.134.243,u3438,,301,113
2025-11-11T09:13:00Z,10.96.72.53,u8748,,200,419
2025-11-22T18:16:00Z,10.142.152.78,u8629,,500,18,
2025-11-09T12:24:00Z,10.58.91.101,u4894,,200,386
2025-11-07T00:53:00Z,10.209.64.214,u7975,,500,815
2025-11-04T10:08:00Z,10.166.181.53,u6305,,500,88
2025-11-23T13:33:00Z,10.127.69.247,u9793,,301,727
2025-11-07T05:01:00Z,10.247.70.195,u8661,,301,405
2025-11-07T14:27:00Z,10.173.190.155,u8949,,200,700
2025-11-01T14:00:00Z,10.37.155.28,u7068,,500,549,
2025-11-08T11:48:00Z,10.248.146.125,u5958,,404,645
2025-11-03T03:36:00Z,10.125.128.102,u6482,,200,606
2025-11-12T15:02:00Z,10.43.164.70,u1250,,500,319
2025-11-14T05:32:00Z,10.142.107.45,u7746,,200,665
2025-11-21T06:12:00Z,10.247.205.202,u1019,,301,650
2025-11-01T15:03:00Z,10.170.9.38,u5639,,301,741
2025-11-06T15:09:00Z,10.12.146.46,u6916,,200,394,
2025-11-05T06:59:00Z,10.146.115.65,u2923,,404,187
2025-11-05T02:42:00Z,10.90.103.210,u6721,,404,230
2025-11-17T08:30:00Z,10.210.78.149,u2121,,404,494
2025-11-05T01:49:00Z,10.228.137.209,u7794,,200,826
2025-11-22T18:26:00Z,10.74.25.32,u9921,,200,793
2025-11-20T22:03:00Z,10.217.131.225,u1219,,200,137
2025-11-01T19:17:00Z,10.212.179.60,u8388,,500,582,
2025-11-17T13:52:00Z,10.167.121.1,u1292,,200,854
2025-11-25T01:11:00Z,10.42.56.62,u1404,,200,131
2025-11-12T11:56:00Z,10.125.34.41,u2064,,200,480
2025-11-28T07:59:00Z,10.250.37.230,u7863,,200,321
2025-11-14T04:07:00Z,10.204.96.94,u6927,,500,392
2025-11-08T17:32:00Z,10.21.184.128,u3770,,200,682
2025-11-27T13:28:00Z,10.186.74.247,u8395,,200,346,
2025-11-28T23:47:00Z,10.92.221.210,u8600,,404,467
2025-11-22T03:17:00Z,10.96.185.235,u8458,,404,3
2025-11-12T23:24:00Z,10.77.90.150,u1083,,301,280
2025-11-27T13:55:00Z,10.216.191.204,u9789,,301,702
2025-11-15T19:03:00Z,10.82.246.38,u5469,,200,883
2025-11-07T08:11:00Z,10.202.43.21,u1288,,200,667
2025-11-26T16:02:00Z,10.49.19.82,u3246,,500,80,
2025-11-08T11:42:00Z,10.160.60.70,u2882,,404,201
2025-11-16T23:16:00Z,10.68.163.247,u5192,,200,266
2025-11-19T09:49:00Z,10.252.5.74,u5435,,301,766
2025-11-25T04:16:00Z,10.183.224.192,u5116,,404,518
2025-11-06T22:06:00Z,10.186.108.32,u5594,,200,124
2025-11-05T02:54:00Z,10.127.28.139,u5088,,200,316
2025-11-24T17:03:00Z,10.133.197.145,u7019,,301,533,
2025-11-21T09:22:00Z,10.7.25.93,u8892,,200,655
2025-11-05T17:20:00Z,10.115.231.63,u7544,,404,122
2025-11-17T15:44:00Z,10.177.229.135,u3429,,301,144
2025-11-01T23:28:00Z,10.120.229.133,u1956,,500,808
2025-11-16T21:02:00Z,10.193.106.198,u7132,,404,431
2025-11-27T06:27:00Z,10.163.143.172,u1809,,301,84
2025-11-21T09:37:00Z,10.120.208.98,u9868,,200,190,
2025-11-17T02:12:00Z,10.203.41.41,u2676,,200,900
2025-11-24T22:11:00Z,10.161.206.147,u3978,,200,798
2025-11-09T20:34:00Z,10.143.227.6,u1625,,404,433
